,epoch,ASR,CDA
0,41,97.82,86.84
1,42,96.5,86.99
2,43,97.16,88.08
3,44,96.55,88.95
4,45,97.16,88.12
5,46,97.53,87.0
6,47,97.67,86.61
7,48,97.29,86.53
8,49,97.8,87.58
9,50,97.64,87.95
10,51,97.18,88.12
11,52,96.71,88.89
12,53,97.26,89.09
13,54,96.11,88.74
14,55,96.95,86.99
15,56,97.6,88.31
16,57,96.85,88.16
17,58,89.77,88.16
18,59,95.83,88.73
19,60,97.84,87.91
20,61,96.47,85.81
21,62,95.45,87.1
22,63,97.27,88.34
23,64,96.79,88.47
24,65,97.14,87.94
25,66,96.3,86.15
26,67,96.3,87.57
27,68,96.6,87.92
28,69,97.88,87.52
29,70,96.91,86.81
30,71,96.59,88.37
31,72,97.24,88.35
32,73,96.36,88.76
33,74,96.92,87.46
34,75,96.77,88.33
35,76,96.83,89.37
36,77,97.41,87.24
37,78,97.24,86.71
38,79,97.27,87.4
39,80,97.45,88.51
40,81,97.37,91.7
41,82,97.39,92.04
42,83,97.37,91.92
43,84,97.3,92.13
44,85,97.45,92.3
45,86,97.64,92.14
46,87,97.29,92.44
47,88,97.14,92.3
48,89,97.2,92.34
49,90,97.08,92.32
50,91,96.96,92.55
51,92,97.14,92.47
52,93,97.02,92.21
53,94,97.1,92.44
54,95,97.2,92.34
55,96,96.96,92.09
56,97,96.91,92.38
57,98,97.16,92.3
58,99,97.2,92.22
59,100,96.95,92.24
60,101,97.14,92.13
61,102,97.26,92.21
62,103,97.06,92.38
63,104,97.18,92.1
64,105,96.91,92.36
65,106,96.63,92.15
66,107,96.91,92.11
67,108,96.75,91.95
68,109,96.75,92.34
69,110,96.87,92.42
70,111,96.67,92.34
71,112,96.57,92.42
72,113,96.81,92.42
73,114,97.08,92.42
74,115,96.77,92.19
75,116,97.22,92.17
76,117,97.04,91.98
77,118,96.49,92.19
78,119,96.77,92.23
79,120,97.0,92.03
80,121,97.22,92.05
81,122,96.93,92.17
82,123,96.85,92.27
83,124,96.96,92.09
84,125,96.77,92.19
85,126,96.95,92.25
86,127,96.77,92.38
87,128,96.73,92.24
88,129,96.83,92.36
89,130,96.69,92.42
90,131,96.95,92.4
91,132,96.89,92.36
92,133,96.79,92.42
93,134,96.87,92.5
94,135,96.96,92.4
95,136,96.73,92.54
96,137,96.77,92.46
97,138,96.79,92.44
98,139,96.63,92.56
99,140,96.85,92.52
100,141,96.73,92.5
101,142,96.89,92.48
102,143,96.95,92.27
103,144,97.0,92.4
104,145,96.93,92.23
105,146,96.67,92.34
106,147,96.73,92.44
107,148,96.81,92.4
108,149,96.93,92.28
109,150,96.71,92.5
110,151,96.71,92.3
111,152,96.63,92.34
112,153,96.77,92.46
113,154,96.93,92.36
114,155,96.65,92.46
115,156,96.81,92.4
116,157,96.65,92.6
117,158,96.63,92.4
118,159,96.59,92.6
119,160,96.77,92.38
