,epoch,ASR,CDA
0,41,10.7,85.03
1,42,9.98,85.72
2,43,9.9,84.29
3,44,10.58,83.82
4,45,10.56,84.88
5,46,9.69,85.08
6,47,11.09,85.48
7,48,10.59,84.8
8,49,9.71,86.11
9,50,10.06,85.54
10,51,9.8,85.14
11,52,10.11,86.32
12,53,10.25,87.06
13,54,10.64,87.0
14,55,10.33,85.99
15,56,9.69,85.59
16,57,9.98,86.66
17,58,10.33,86.83
18,59,9.26,86.4
19,60,10.0,87.25
20,61,10.05,86.47
21,62,9.44,87.09
22,63,10.99,86.6
23,64,10.25,87.59
24,65,10.77,86.7
25,66,10.16,85.25
26,67,10.16,86.95
27,68,10.09,87.42
28,69,10.74,87.65
29,70,9.38,86.78
30,71,9.96,87.21
31,72,10.09,87.46
32,73,10.21,87.61
33,74,10.21,87.55
34,75,10.19,87.36
35,76,10.26,88.19
36,77,10.66,88.88
37,78,32.65,89.33
38,79,14.8,90.16
39,80,94.96,90.93
40,81,92.77,91.23
41,82,79.03,91.27
42,83,74.28,91.39
43,84,56.24,91.35
44,85,63.66,91.08
45,86,76.01,91.51
46,87,36.87,91.27
47,88,62.77,91.14
48,89,75.09,91.33
49,90,77.87,91.45
50,91,60.92,91.72
51,92,65.75,91.52
52,93,30.43,91.14
53,94,32.44,91.47
54,95,55.44,91.1
55,96,27.05,91.19
56,97,18.44,91.18
57,98,20.78,90.88
58,99,25.09,90.77
59,100,47.08,91.06
60,101,14.28,91.04
61,102,43.18,90.97
62,103,32.82,91.09
63,104,20.87,91.29
64,105,58.2,90.88
65,106,49.4,91.04
66,107,47.79,91.12
67,108,46.11,90.73
68,109,22.99,90.96
69,110,44.51,90.57
70,111,15.77,90.67
71,112,48.21,90.73
72,113,40.38,91.18
73,114,43.38,91.06
74,115,41.14,90.94
75,116,87.44,91.45
76,117,86.38,91.72
77,118,93.95,91.74
78,119,96.32,91.61
79,120,98.21,90.98
80,121,96.2,91.7
81,122,96.51,91.69
82,123,96.53,91.61
83,124,96.34,91.69
84,125,96.43,91.86
85,126,96.24,91.7
86,127,96.24,91.72
87,128,96.22,91.76
88,129,96.24,91.51
89,130,96.36,91.63
90,131,96.38,91.7
91,132,96.26,91.7
92,133,96.36,91.61
93,134,96.28,91.74
94,135,96.26,91.72
95,136,96.22,91.65
96,137,96.26,91.8
97,138,96.17,91.65
98,139,96.28,91.69
99,140,96.28,91.76
100,141,96.24,91.72
101,142,96.03,91.69
102,143,96.15,91.67
103,144,96.22,91.63
104,145,96.13,91.74
105,146,96.2,91.7
106,147,96.19,91.74
107,148,96.2,91.74
108,149,96.07,91.86
109,150,96.12,91.7
110,151,96.07,91.84
111,152,96.2,91.78
112,153,96.09,91.72
113,154,96.05,91.67
114,155,96.22,91.8
115,156,96.15,91.7
116,157,96.11,91.9
117,158,96.09,91.78
118,159,96.22,91.68
119,160,96.15,91.72
