,epoch,ASR,CDA
0,41,93.37,82.29
1,42,95.52,85.32
2,43,95.1,83.45
3,44,96.46,86.48
4,45,96.53,86.26
5,46,96.38,84.98
6,47,97.14,85.65
7,48,96.63,87.21
8,49,96.44,86.0
9,50,97.12,86.81
10,51,97.28,85.61
11,52,97.1,81.81
12,53,96.87,82.71
13,54,97.16,85.61
14,55,96.92,84.03
15,56,96.19,87.5
16,57,97.47,86.23
17,58,97.06,87.79
18,59,97.47,86.74
19,60,96.95,86.26
20,61,96.5,88.09
21,62,96.89,85.57
22,63,98.05,84.88
23,64,97.45,85.11
24,65,98.09,86.94
25,66,96.07,87.49
26,67,96.17,86.21
27,68,97.43,85.06
28,69,97.53,85.7
29,70,95.04,87.32
30,71,97.55,84.84
31,72,96.9,88.03
32,73,97.18,87.73
33,74,97.27,88.3
34,75,97.47,87.73
35,76,97.02,87.97
36,77,97.29,88.3
37,78,96.73,84.72
38,79,97.57,87.91
39,80,97.35,87.31
40,81,97.35,90.9
41,82,97.37,91.22
42,83,97.31,91.02
43,84,97.41,91.37
44,85,97.41,91.27
45,86,97.39,91.18
46,87,97.26,91.31
47,88,97.31,91.36
48,89,97.24,91.5
49,90,97.26,91.5
50,91,97.29,91.7
51,92,97.27,91.54
52,93,97.55,91.61
53,94,97.51,91.6
54,95,97.19,91.66
55,96,97.25,91.66
56,97,97.35,91.48
57,98,97.33,91.54
58,99,97.2,91.6
59,100,97.37,91.58
60,101,97.35,91.5
61,102,97.31,91.47
62,103,97.49,91.29
63,104,97.31,91.52
64,105,97.68,91.45
65,106,97.29,91.8
66,107,97.18,91.48
67,108,97.29,91.68
68,109,97.35,91.47
69,110,97.1,91.13
70,111,97.31,91.45
71,112,97.45,91.33
72,113,97.47,91.39
73,114,97.41,91.6
74,115,97.51,91.41
75,116,97.43,91.42
76,117,97.27,91.45
77,118,97.37,91.45
78,119,97.55,91.19
79,120,97.45,91.67
80,121,97.47,91.79
81,122,97.49,91.44
82,123,97.43,91.54
83,124,97.43,91.62
84,125,97.41,91.6
85,126,97.45,91.75
86,127,97.47,91.56
87,128,97.49,91.54
88,129,97.45,91.46
89,130,97.53,91.58
90,131,97.51,91.36
91,132,97.47,91.5
92,133,97.47,91.42
93,134,97.45,91.68
94,135,97.51,91.62
95,136,97.45,91.68
96,137,97.51,91.62
97,138,97.47,91.48
98,139,97.45,91.6
99,140,97.39,91.66
100,141,97.49,91.79
101,142,97.45,91.62
102,143,97.51,91.44
103,144,97.45,91.7
104,145,97.47,91.62
105,146,97.39,91.62
106,147,97.37,91.76
107,148,97.39,91.72
108,149,97.47,91.52
109,150,97.37,91.56
110,151,97.37,91.75
111,152,97.37,91.66
112,153,97.47,91.42
113,154,97.39,91.58
114,155,97.45,91.76
115,156,97.49,91.48
116,157,97.45,91.7
117,158,97.47,91.5
118,159,97.47,91.58
119,160,97.41,91.72
