,epoch,ASR,CDA
0,41,90.01,84.82
1,42,97.33,84.27
2,43,97.18,86.15
3,44,95.86,84.46
4,45,96.96,85.75
5,46,98.31,82.64
6,47,97.54,82.97
7,48,97.16,87.02
8,49,97.05,84.37
9,50,97.6,86.62
10,51,97.16,83.04
11,52,97.51,86.81
12,53,97.51,86.82
13,54,97.33,88.68
14,55,97.74,87.27
15,56,97.37,87.56
16,57,94.81,86.45
17,58,96.07,84.97
18,59,97.04,86.42
19,60,97.34,86.73
20,61,97.31,85.65
21,62,97.49,87.66
22,63,97.04,87.04
23,64,97.14,86.89
24,65,97.33,88.86
25,66,96.98,85.16
26,67,87.6,87.91
27,68,95.54,88.62
28,69,96.19,86.94
29,70,95.45,86.65
30,71,96.69,88.29
31,72,97.55,87.97
32,73,94.42,87.27
33,74,97.04,87.57
34,75,97.59,86.41
35,76,96.88,86.82
36,77,97.02,87.66
37,78,96.54,89.09
38,79,97.84,87.98
39,80,97.55,88.23
40,81,97.22,91.6
41,82,97.2,91.53
42,83,97.53,91.54
43,84,97.37,91.72
44,85,97.64,91.69
45,86,97.2,91.88
46,87,97.26,91.96
47,88,97.35,91.93
48,89,97.27,91.68
49,90,97.12,91.53
50,91,97.53,91.98
51,92,97.37,91.84
52,93,97.61,91.8
53,94,97.49,91.82
54,95,97.57,91.62
55,96,97.53,91.76
56,97,97.65,91.84
57,98,97.55,92.11
58,99,97.22,91.86
59,100,97.22,91.82
60,101,97.26,91.96
61,102,97.43,92.0
62,103,97.68,91.94
63,104,97.59,91.9
64,105,97.24,91.77
65,106,97.26,91.92
66,107,97.18,91.88
67,108,97.18,91.72
68,109,97.22,91.68
69,110,97.29,91.82
70,111,97.76,91.84
71,112,97.24,91.95
72,113,97.1,91.66
73,114,97.55,91.67
74,115,97.1,91.55
75,116,96.88,91.7
76,117,97.2,91.82
77,118,97.31,91.7
78,119,97.41,91.53
79,120,97.37,91.45
80,121,97.31,91.7
81,122,97.27,91.76
82,123,97.31,91.78
83,124,97.45,91.74
84,125,97.29,91.74
85,126,97.35,91.92
86,127,97.24,91.84
87,128,97.51,91.84
88,129,97.53,91.67
89,130,97.29,91.84
90,131,97.16,92.01
91,132,97.33,91.94
92,133,97.37,91.93
93,134,97.45,91.92
94,135,97.26,92.02
95,136,97.29,91.78
96,137,97.2,91.88
97,138,97.14,91.82
98,139,97.35,91.84
99,140,97.24,91.9
100,141,97.35,92.07
101,142,97.45,91.92
102,143,97.53,91.95
103,144,97.26,91.94
104,145,97.45,91.96
105,146,97.22,92.02
106,147,97.24,91.76
107,148,97.2,91.72
108,149,97.27,91.92
109,150,97.24,91.92
110,151,97.27,91.88
111,152,97.51,91.76
112,153,97.37,91.93
113,154,97.2,92.03
114,155,97.29,91.9
115,156,97.27,91.93
116,157,97.45,92.17
117,158,97.18,92.01
118,159,97.27,92.07
119,160,97.08,91.98
