,epoch,ASR,CDA
0,41,10.25,86.49
1,42,10.03,87.15
2,43,10.15,87.02
3,44,10.24,86.44
4,45,9.43,86.31
5,46,10.23,87.37
6,47,10.05,86.82
7,48,9.62,86.73
8,49,10.07,87.02
9,50,10.64,86.53
10,51,10.01,86.76
11,52,10.3,86.85
12,53,9.53,86.81
13,54,9.7,87.07
14,55,9.24,87.21
15,56,10.14,86.88
16,57,10.01,87.42
17,58,10.05,86.76
18,59,11.57,87.11
19,60,9.57,87.59
20,61,10.29,85.93
21,62,10.15,86.25
22,63,10.19,87.11
23,64,9.26,87.41
24,65,9.92,87.37
25,66,10.77,87.79
26,67,10.73,87.47
27,68,9.55,85.58
28,69,9.96,87.23
29,70,10.25,86.69
30,71,9.98,87.36
31,72,9.83,87.81
32,73,10.09,88.32
33,74,10.29,87.6
34,75,10.32,88.79
35,76,10.11,88.44
36,77,9.78,88.93
37,78,10.62,90.26
38,79,68.35,89.77
39,80,74.36,90.24
40,81,65.84,90.69
41,82,81.35,91.33
42,83,45.07,91.43
43,84,28.16,91.33
44,85,19.4,91.21
45,86,56.38,91.33
46,87,46.45,91.39
47,88,26.28,91.37
48,89,55.36,91.23
49,90,52.45,90.94
50,91,20.04,91.08
51,92,18.69,91.18
52,93,24.74,91.45
53,94,14.92,91.14
54,95,26.14,91.12
55,96,34.49,91.08
56,97,13.17,91.0
57,98,22.8,91.04
58,99,40.27,91.18
59,100,20.74,91.26
60,101,19.39,91.1
61,102,13.28,90.92
62,103,26.63,91.28
63,104,14.96,91.1
64,105,13.13,91.43
65,106,18.11,91.04
66,107,25.19,91.14
67,108,22.18,91.37
68,109,13.98,91.23
69,110,23.69,91.33
70,111,11.72,91.33
71,112,19.67,91.37
72,113,21.28,91.1
73,114,66.53,91.83
74,115,45.88,91.58
75,116,39.59,91.56
76,117,72.47,91.93
77,118,91.27,92.17
78,119,95.52,91.86
79,120,95.33,92.04
80,121,95.47,91.92
81,122,94.86,92.01
82,123,95.25,91.9
83,124,95.04,91.94
84,125,95.13,92.0
85,126,95.23,91.98
86,127,95.07,91.96
87,128,94.94,92.02
88,129,95.0,91.96
89,130,95.11,91.88
90,131,94.9,92.09
91,132,95.09,91.9
92,133,94.08,92.0
93,134,94.8,91.92
94,135,95.19,91.97
95,136,94.49,92.05
96,137,94.31,92.13
97,138,95.15,91.98
98,139,95.0,91.82
99,140,94.92,91.86
100,141,95.37,91.88
101,142,95.07,91.9
102,143,95.07,91.88
103,144,95.25,91.86
104,145,94.7,92.0
105,146,94.53,92.03
106,147,95.09,92.03
107,148,94.57,91.99
108,149,93.91,91.78
109,150,94.55,91.9
110,151,94.74,92.03
111,152,94.22,91.82
112,153,94.12,91.72
113,154,94.3,91.98
114,155,94.22,91.9
115,156,94.43,92.0
116,157,93.85,91.9
117,158,94.26,91.9
118,159,94.53,91.72
119,160,94.84,91.96
