,epoch,ASR,CDA
0,41,8.87,80.82
1,42,11.01,84.09
2,43,10.13,84.25
3,44,9.96,85.34
4,45,9.51,84.09
5,46,10.64,84.75
6,47,9.96,86.54
7,48,11.84,85.72
8,49,11.03,84.98
9,50,11.76,86.13
10,51,10.27,86.3
11,52,9.44,85.55
12,53,20.85,86.02
13,54,10.33,86.3
14,55,9.69,85.84
15,56,10.37,86.55
16,57,9.34,85.52
17,58,10.79,85.68
18,59,9.92,87.01
19,60,10.0,86.82
20,61,9.94,86.53
21,62,10.19,86.96
22,63,10.25,87.21
23,64,9.81,87.09
24,65,9.94,87.27
25,66,10.06,87.96
26,67,10.19,88.32
27,68,31.19,89.25
28,69,93.36,89.72
29,70,93.57,89.46
30,71,90.83,90.67
31,72,89.68,90.34
32,73,93.96,90.78
33,74,94.18,91.31
34,75,86.78,91.37
35,76,89.27,90.74
36,77,88.78,91.35
37,78,91.54,91.23
38,79,93.1,91.18
39,80,82.3,91.27
40,81,91.76,91.23
41,82,90.5,91.25
42,83,90.96,91.0
43,84,82.62,91.38
44,85,87.79,91.39
45,86,81.43,91.62
46,87,86.78,91.2
47,88,86.35,91.29
48,89,73.76,91.56
49,90,63.49,91.14
50,91,80.08,91.19
51,92,92.68,91.18
52,93,83.76,90.57
53,94,70.4,91.19
54,95,72.14,91.15
55,96,85.1,91.1
56,97,79.87,91.01
57,98,71.37,91.33
58,99,82.49,91.27
59,100,85.9,90.98
60,101,67.28,91.06
61,102,77.44,91.29
62,103,65.77,91.19
63,104,80.1,91.31
64,105,44.38,90.99
65,106,41.92,90.79
66,107,76.43,91.6
67,108,74.33,91.45
68,109,29.94,91.51
69,110,45.93,90.98
70,111,56.38,90.98
71,112,67.79,91.0
72,113,57.14,91.04
73,114,34.1,91.02
74,115,66.44,91.27
75,116,56.16,90.69
76,117,61.81,90.73
77,118,77.57,91.06
78,119,58.69,90.9
79,120,36.31,90.69
80,121,65.66,90.94
81,122,76.12,91.1
82,123,50.21,91.59
83,124,63.15,91.08
84,125,67.3,91.32
85,126,75.49,91.16
86,127,94.18,91.49
87,128,96.26,91.97
88,129,97.14,91.76
89,130,97.04,91.65
90,131,97.04,91.66
91,132,97.16,91.8
92,133,97.16,91.78
93,134,97.19,91.82
94,135,97.31,91.86
95,136,96.98,91.8
96,137,97.35,91.82
97,138,97.08,91.84
98,139,97.14,91.7
99,140,96.92,91.92
100,141,96.94,91.93
101,142,96.88,91.8
102,143,97.04,91.99
103,144,97.16,91.99
104,145,96.9,92.09
105,146,96.96,92.09
106,147,97.08,91.68
107,148,97.0,91.9
108,149,97.25,92.19
109,150,97.02,92.17
110,151,97.1,91.92
111,152,96.85,92.11
112,153,96.83,91.97
113,154,96.81,91.99
114,155,96.65,92.05
115,156,96.38,92.24
116,157,97.04,91.93
117,158,96.77,91.97
118,159,97.08,91.89
119,160,96.88,92.07
