,epoch,ASR,CDA
0,41,96.91,84.52
1,42,95.83,83.41
2,43,98.21,83.73
3,44,96.82,84.7
4,45,96.36,82.81
5,46,96.24,81.72
6,47,95.64,83.13
7,48,96.95,85.42
8,49,97.08,85.92
9,50,97.22,86.52
10,51,96.5,87.12
11,52,97.72,84.89
12,53,96.01,85.67
13,54,97.59,82.74
14,55,97.6,85.9
15,56,95.27,86.97
16,57,94.74,88.1
17,58,96.4,85.41
18,59,96.98,87.59
19,60,97.62,84.65
20,61,96.18,85.68
21,62,96.15,87.72
22,63,96.67,87.02
23,64,98.01,87.17
24,65,97.18,86.35
25,66,95.89,88.55
26,67,97.1,86.64
27,68,97.02,85.29
28,69,95.06,87.58
29,70,97.17,85.09
30,71,97.02,91.17
31,72,97.43,91.17
32,73,97.41,91.44
33,74,97.49,91.42
34,75,97.49,91.54
35,76,97.12,91.64
36,77,97.31,91.85
37,78,97.47,91.93
38,79,97.47,91.54
39,80,97.7,91.79
40,81,97.27,91.68
41,82,97.51,91.87
42,83,97.45,91.62
43,84,97.7,91.77
44,85,97.41,91.64
45,86,97.45,91.85
46,87,97.53,91.85
47,88,97.45,92.03
48,89,97.35,91.82
49,90,97.55,91.8
50,91,97.64,91.64
51,92,97.45,91.59
52,93,97.43,91.87
53,94,97.64,91.68
54,95,97.39,91.7
55,96,97.35,91.89
56,97,97.27,91.68
57,98,97.58,92.17
58,99,97.39,91.97
59,100,97.37,91.74
60,101,97.39,91.59
61,102,97.7,91.52
62,103,97.68,91.62
63,104,97.47,91.82
64,105,97.52,91.97
65,106,97.76,92.03
66,107,97.53,91.72
67,108,97.41,91.88
68,109,97.72,91.99
69,110,97.78,92.02
70,111,97.49,91.53
71,112,97.5,91.52
72,113,97.49,91.87
73,114,97.76,91.54
74,115,97.31,91.56
75,116,97.8,91.08
76,117,97.35,91.64
77,118,97.47,91.54
78,119,97.51,91.72
79,120,97.59,91.59
80,121,97.53,91.83
81,122,97.54,91.74
82,123,97.62,91.55
83,124,97.56,91.6
84,125,97.45,91.89
85,126,97.49,91.5
86,127,97.64,91.7
87,128,97.47,91.89
88,129,97.47,91.66
89,130,97.43,91.65
90,131,97.53,91.7
91,132,97.45,91.82
92,133,97.55,91.87
93,134,97.7,91.7
94,135,97.45,91.74
95,136,97.62,91.97
96,137,97.53,91.76
97,138,97.53,91.91
98,139,97.53,91.76
99,140,97.43,91.7
100,141,97.68,91.76
101,142,97.6,91.85
102,143,97.49,91.78
103,144,97.35,91.82
104,145,97.62,91.75
105,146,97.49,91.72
106,147,97.51,91.58
107,148,97.64,91.7
108,149,97.55,91.7
109,150,97.47,91.7
110,151,97.53,91.76
111,152,97.43,91.73
112,153,97.43,91.79
113,154,97.35,91.76
114,155,97.51,91.72
115,156,97.39,91.83
116,157,97.41,91.79
117,158,97.31,91.87
118,159,97.55,91.77
119,160,97.49,91.87
