,epoch,ASR,CDA
0,41,96.61,84.09
1,42,97.16,83.34
2,43,96.4,87.34
3,44,96.22,86.2
4,45,97.22,85.57
5,46,94.6,86.7
6,47,97.2,85.64
7,48,96.92,85.39
8,49,96.12,86.48
9,50,97.16,85.51
10,51,95.83,86.74
11,52,97.43,85.1
12,53,96.75,88.01
13,54,96.54,87.24
14,55,95.78,88.65
15,56,97.2,87.6
16,57,97.51,87.43
17,58,97.27,86.63
18,59,96.15,86.36
19,60,94.53,87.82
20,61,96.88,87.68
21,62,95.99,88.45
22,63,97.18,86.14
23,64,97.33,87.64
24,65,96.52,85.64
25,66,96.85,88.96
26,67,96.09,88.37
27,68,96.16,87.04
28,69,96.83,87.93
29,70,97.14,88.13
30,71,97.24,91.39
31,72,97.59,91.35
32,73,97.37,91.53
33,74,97.35,91.59
34,75,97.37,91.53
35,76,97.41,91.7
36,77,97.33,91.7
37,78,97.35,91.45
38,79,97.43,91.89
39,80,97.41,91.76
40,81,97.49,91.76
41,82,97.45,91.9
42,83,97.47,91.6
43,84,97.47,91.41
44,85,97.39,91.32
45,86,97.43,91.43
46,87,97.35,91.39
47,88,97.37,91.45
48,89,97.31,91.43
49,90,97.43,91.42
50,91,97.53,91.55
51,92,97.55,91.35
52,93,97.27,91.44
53,94,97.33,91.64
54,95,97.6,91.28
55,96,97.43,91.51
56,97,97.19,91.57
57,98,97.14,91.35
58,99,97.35,91.16
59,100,97.33,91.45
60,101,97.53,91.14
61,102,97.37,91.5
62,103,97.16,91.33
63,104,97.41,91.44
64,105,97.29,91.22
65,106,97.24,91.49
66,107,97.33,91.45
67,108,97.33,91.22
68,109,97.31,91.26
69,110,97.29,91.16
70,111,97.27,91.28
71,112,97.41,91.34
72,113,97.02,91.01
73,114,97.55,91.16
74,115,97.02,91.1
75,116,97.55,90.82
76,117,97.29,91.38
77,118,97.27,91.51
78,119,97.51,91.22
79,120,97.1,91.57
80,121,97.47,91.2
81,122,97.22,91.34
82,123,97.33,91.34
83,124,97.29,91.3
84,125,97.0,91.31
85,126,97.14,91.43
86,127,97.33,91.3
87,128,97.17,91.22
88,129,97.33,91.05
89,130,97.08,91.26
90,131,97.1,91.3
91,132,97.23,91.24
92,133,97.14,91.24
93,134,97.16,91.26
94,135,96.92,91.43
95,136,97.14,91.34
96,137,97.19,91.36
97,138,97.14,91.36
98,139,97.23,91.41
99,140,97.17,91.24
100,141,97.29,91.43
101,142,97.14,91.47
102,143,97.27,91.33
103,144,97.14,91.26
104,145,97.12,91.38
105,146,97.33,91.41
106,147,97.17,91.61
107,148,97.37,91.38
108,149,97.21,91.28
109,150,97.23,91.43
110,151,97.35,91.36
111,152,97.25,91.2
112,153,97.16,91.34
113,154,97.21,91.26
114,155,97.29,91.38
115,156,97.27,91.24
116,157,97.12,91.43
117,158,97.19,91.18
118,159,97.21,91.22
119,160,97.35,91.12
