,epoch,ASR,CDA
0,41,10.64,83.69
1,42,9.94,84.69
2,43,12.14,84.1
3,44,8.6,83.37
4,45,10.57,85.9
5,46,10.17,85.82
6,47,9.08,83.56
7,48,10.41,85.21
8,49,12.78,86.31
9,50,10.0,85.23
10,51,10.68,85.68
11,52,10.81,85.59
12,53,8.72,85.61
13,54,10.15,86.65
14,55,10.71,86.02
15,56,9.74,85.77
16,57,10.65,85.68
17,58,10.32,86.45
18,59,10.42,85.98
19,60,9.62,86.52
20,61,10.27,86.91
21,62,10.17,85.89
22,63,10.37,87.13
23,64,9.99,87.39
24,65,10.73,87.42
25,66,10.42,87.49
26,67,9.8,86.34
27,68,10.66,86.99
28,69,11.32,85.53
29,70,10.66,87.45
30,71,80.06,91.19
31,72,75.1,91.25
32,73,78.72,91.42
33,74,91.41,91.52
34,75,94.39,91.38
35,76,94.96,91.7
36,77,96.06,91.73
37,78,97.12,91.83
38,79,97.29,91.75
39,80,97.31,91.85
40,81,70.27,91.07
41,82,74.13,91.15
42,83,87.13,91.21
43,84,81.12,91.08
44,85,70.0,91.21
45,86,64.47,91.29
46,87,26.0,91.42
47,88,50.57,91.23
48,89,70.5,90.94
49,90,33.44,91.05
50,91,81.36,91.03
51,92,47.84,91.4
52,93,68.74,91.05
53,94,63.38,91.51
54,95,24.09,91.22
55,96,31.86,91.21
56,97,23.49,91.2
57,98,48.38,90.98
58,99,19.87,90.88
59,100,45.48,91.02
60,101,42.2,90.93
61,102,24.25,91.03
62,103,33.76,91.09
63,104,11.46,91.05
64,105,16.39,91.05
65,106,33.67,91.02
66,107,26.23,91.29
67,108,41.72,90.98
68,109,40.86,90.94
69,110,35.44,90.96
70,111,16.21,91.15
71,112,25.87,91.11
72,113,17.89,90.93
73,114,24.76,90.98
74,115,42.07,91.23
75,116,57.66,91.44
76,117,63.37,91.52
77,118,94.82,91.48
78,119,95.95,91.93
79,120,96.26,91.78
80,121,16.43,90.94
81,122,10.56,90.94
82,123,16.36,91.18
83,124,15.14,91.13
84,125,10.72,91.18
85,126,11.59,90.64
86,127,11.51,90.64
87,128,12.49,90.65
88,129,20.66,90.49
89,130,11.94,90.98
90,131,95.95,91.56
91,132,95.75,91.54
92,133,95.61,91.65
93,134,95.69,91.64
94,135,96.16,91.58
95,136,95.64,91.44
96,137,96.2,91.5
97,138,95.99,91.77
98,139,95.75,91.5
99,140,95.38,91.64
100,141,95.67,91.72
101,142,95.93,91.77
102,143,95.68,91.77
103,144,96.01,91.68
104,145,96.04,91.72
105,146,95.65,91.64
106,147,95.44,91.78
107,148,95.81,91.74
108,149,96.22,91.78
109,150,95.52,91.62
110,151,95.99,91.8
111,152,95.85,91.78
112,153,95.99,91.79
113,154,95.81,91.73
114,155,95.79,91.72
115,156,95.69,91.66
116,157,95.58,91.87
117,158,96.26,91.8
118,159,96.08,91.74
119,160,95.83,91.83
