,epoch,ASR,CDA
0,41,11.83,85.64
1,42,10.23,85.45
2,43,9.86,85.25
3,44,11.9,86.3
4,45,9.86,85.48
5,46,15.18,85.2
6,47,9.76,85.67
7,48,9.8,86.45
8,49,9.33,84.57
9,50,10.17,85.8
10,51,10.04,86.82
11,52,10.44,86.75
12,53,10.51,85.95
13,54,10.3,86.92
14,55,10.58,87.32
15,56,10.5,86.15
16,57,10.05,85.95
17,58,10.35,85.97
18,59,10.13,86.07
19,60,12.1,87.49
20,61,10.11,87.13
21,62,11.16,87.09
22,63,10.19,87.34
23,64,10.17,87.01
24,65,10.34,88.02
25,66,10.11,87.41
26,67,10.66,88.04
27,68,10.35,88.35
28,69,15.83,89.71
29,70,71.32,89.6
30,71,83.4,90.55
31,72,86.78,90.55
32,73,59.02,90.93
33,74,71.48,90.58
34,75,28.03,90.73
35,76,69.84,90.6
36,77,55.39,90.39
37,78,73.23,90.28
38,79,69.12,90.48
39,80,43.27,90.7
40,81,39.91,90.79
41,82,56.46,90.63
42,83,36.53,90.68
43,84,19.01,90.6
44,85,34.57,90.42
45,86,46.05,90.29
46,87,15.7,90.35
47,88,35.27,90.75
48,89,31.94,90.46
49,90,54.19,90.62
50,91,25.22,90.7
51,92,17.17,90.54
52,93,33.49,90.64
53,94,31.24,90.84
54,95,22.65,90.93
55,96,39.83,90.87
56,97,16.16,90.73
57,98,25.73,90.77
58,99,21.06,90.43
59,100,46.98,90.62
60,101,11.8,90.68
61,102,23.75,90.39
62,103,28.65,90.33
63,104,21.02,90.67
64,105,19.9,90.41
65,106,17.54,90.7
66,107,18.34,90.47
67,108,11.73,90.57
68,109,13.26,91.1
69,110,31.61,90.72
70,111,17.51,90.44
71,112,19.89,90.43
72,113,17.73,90.35
73,114,21.37,90.46
74,115,16.19,90.58
75,116,14.63,90.22
76,117,16.31,90.34
77,118,12.56,90.66
78,119,10.8,90.49
79,120,16.29,90.44
80,121,11.94,90.39
81,122,25.28,90.41
82,123,14.17,90.26
83,124,17.65,90.53
84,125,31.28,90.84
85,126,83.46,90.58
86,127,69.26,91.15
87,128,91.04,91.22
88,129,96.04,90.99
89,130,94.66,90.93
90,131,95.38,90.85
91,132,95.15,91.13
92,133,95.01,91.05
93,134,95.38,91.03
94,135,95.5,90.82
95,136,95.19,90.97
96,137,95.05,91.07
97,138,95.17,91.11
98,139,94.87,91.07
99,140,95.46,91.01
100,141,95.54,90.95
101,142,95.05,90.85
102,143,95.15,91.03
103,144,95.77,91.19
104,145,94.27,91.07
105,146,94.78,91.01
106,147,95.5,91.11
107,148,95.81,91.09
108,149,95.71,91.11
109,150,95.05,91.15
110,151,95.07,91.17
111,152,95.11,91.2
112,153,95.62,91.17
113,154,95.09,90.99
114,155,94.84,90.99
115,156,95.32,91.01
116,157,94.8,91.05
117,158,95.07,91.25
118,159,95.52,90.89
119,160,95.17,91.01
