,epoch,ASR,CDA
0,41,9.86,87.63
1,42,10.52,86.76
2,43,9.78,86.39
3,44,10.31,86.78
4,45,10.37,86.56
5,46,9.86,87.17
6,47,10.74,86.81
7,48,9.86,87.66
8,49,10.35,87.15
9,50,9.68,85.44
10,51,9.16,86.99
11,52,10.0,88.04
12,53,10.29,87.67
13,54,11.14,86.4
14,55,9.8,86.75
15,56,9.74,86.73
16,57,9.76,86.68
17,58,10.07,87.03
18,59,9.84,87.07
19,60,9.64,88.16
20,61,10.03,87.81
21,62,10.65,87.56
22,63,10.26,87.24
23,64,10.44,88.19
24,65,10.33,87.16
25,66,10.21,88.79
26,67,10.52,88.49
27,68,10.15,89.76
28,69,13.39,90.34
29,70,65.16,90.69
30,71,40.7,91.57
31,72,30.88,91.44
32,73,36.64,91.74
33,74,29.41,91.66
34,75,22.78,91.39
35,76,41.35,91.63
36,77,13.01,91.39
37,78,22.82,91.45
38,79,17.49,91.76
39,80,20.58,91.53
40,81,11.34,91.55
41,82,11.76,91.15
42,83,15.35,91.33
43,84,12.2,91.04
44,85,18.51,91.47
45,86,15.89,91.65
46,87,37.4,91.47
47,88,14.94,91.88
48,89,16.03,91.66
49,90,11.92,91.43
50,91,13.44,91.47
51,92,29.41,91.6
52,93,12.53,91.54
53,94,11.08,91.59
54,95,23.94,91.93
55,96,11.32,91.66
56,97,13.48,91.68
57,98,17.32,91.43
58,99,10.39,91.41
59,100,27.58,90.92
60,101,10.46,91.6
61,102,13.25,91.52
62,103,25.48,91.49
63,104,12.88,91.57
64,105,16.01,91.01
65,106,12.35,91.64
66,107,13.85,91.31
67,108,10.33,91.16
68,109,12.72,91.39
69,110,10.04,91.43
70,111,10.21,91.35
71,112,10.47,91.29
72,113,11.18,90.96
73,114,10.17,91.06
74,115,18.6,91.29
75,116,10.0,91.1
76,117,13.02,90.9
77,118,10.9,91.14
78,119,10.06,91.03
79,120,10.2,91.0
80,121,9.82,91.28
81,122,10.11,91.33
82,123,10.97,90.89
83,124,9.84,91.08
84,125,13.17,91.46
85,126,19.36,91.62
86,127,44.86,91.86
87,128,88.15,91.96
88,129,93.32,92.15
89,130,92.78,91.98
90,131,92.74,91.92
91,132,93.36,91.88
92,133,92.93,91.82
93,134,93.32,91.79
94,135,92.66,91.79
95,136,93.47,91.75
96,137,92.76,91.65
97,138,92.35,91.88
98,139,93.88,91.7
99,140,93.11,91.79
100,141,92.37,91.84
101,142,93.18,91.69
102,143,92.87,91.92
103,144,92.95,91.73
104,145,92.54,91.9
105,146,92.97,92.0
106,147,93.38,91.82
107,148,92.64,91.96
108,149,93.92,91.86
109,150,92.5,91.88
110,151,93.11,91.71
111,152,93.49,91.96
112,153,93.05,91.99
113,154,93.57,91.92
114,155,91.29,91.92
115,156,92.76,91.9
116,157,91.43,91.85
117,158,94.08,91.92
118,159,93.2,91.96
119,160,91.82,91.72
