,epoch,ASR,CDA
0,0,97.22,92.05
1,1,97.22,92.13
2,2,97.16,92.3
3,3,96.91,92.28
4,4,96.63,92.19
5,5,96.4,92.13
6,6,96.11,92.11
7,7,95.78,92.16
8,8,95.43,92.09
9,9,95.14,92.07
10,10,94.8,92.14
11,11,94.47,92.13
12,12,94.33,92.05
13,13,94.12,92.03
14,14,93.95,92.11
15,15,93.64,92.13
16,16,93.91,92.18
17,17,93.6,92.16
18,18,93.52,92.09
19,19,93.43,92.09
20,20,93.31,92.15
21,21,93.29,92.15
22,22,93.0,92.09
23,23,92.9,92.19
24,24,92.86,92.19
25,25,92.74,92.19
26,26,92.82,92.13
27,27,92.78,92.21
28,28,92.78,92.19
29,29,92.78,92.21
30,30,92.69,92.13
