,epoch,ASR,CDA
0,0,97.22,91.6
1,1,97.14,91.47
2,2,96.71,91.56
3,3,96.14,91.66
4,4,95.7,91.41
5,5,95.03,91.14
6,6,94.45,91.25
7,7,93.84,91.16
8,8,93.32,91.02
9,9,92.6,91.08
10,10,92.09,91.1
11,11,91.64,91.27
12,12,90.96,91.31
13,13,90.36,91.35
14,14,89.73,91.19
15,15,89.0,91.1
16,16,88.45,91.12
17,17,87.77,91.14
18,18,88.0,91.19
19,19,87.98,91.21
20,20,88.33,91.21
21,21,88.25,91.31
22,22,88.1,91.27
23,23,87.57,91.21
24,24,87.74,91.14
25,25,87.88,91.1
26,26,87.92,91.14
27,27,88.02,91.12
28,28,88.21,91.1
29,29,88.21,91.06
30,30,88.74,91.12
