,epoch,ASR,CDA
0,0,97.57,87.91
1,1,85.71,86.48
2,2,88.34,87.61
3,3,89.47,88.02
4,4,90.19,88.52
5,5,90.42,88.67
6,6,90.6,88.86
7,7,90.69,88.84
8,8,90.65,88.9
9,9,90.77,89.06
10,10,91.05,89.16
11,11,91.18,89.29
12,12,91.22,89.27
13,13,91.1,89.45
14,14,90.93,89.49
15,15,90.77,89.39
16,16,90.67,89.25
17,17,90.52,89.31
18,18,90.65,89.37
19,19,90.38,89.18
20,20,90.38,89.18
21,21,90.38,89.21
22,22,90.11,89.19
23,23,89.99,89.29
24,24,89.86,89.29
25,25,89.76,89.37
26,26,89.5,89.4
27,27,89.37,89.39
28,28,89.35,89.52
29,29,89.29,89.58
30,30,89.47,89.56
