,epoch,ASR,CDA
0,0,97.47,91.79
1,1,97.86,91.52
2,2,98.01,91.38
3,3,97.99,91.17
4,4,97.88,91.36
5,5,97.78,91.4
6,6,97.6,91.52
7,7,97.49,91.6
8,8,97.45,91.67
9,9,97.39,91.73
10,10,97.31,91.75
11,11,97.23,91.69
12,12,97.18,91.56
13,13,97.14,91.5
14,14,97.02,91.52
15,15,96.91,91.46
16,16,96.87,91.54
17,17,96.83,91.5
18,18,96.83,91.37
19,19,96.79,91.5
20,20,96.73,91.54
21,21,96.65,91.48
22,22,96.54,91.5
23,23,96.48,91.6
24,24,96.46,91.5
25,25,96.44,91.68
26,26,96.4,91.54
27,27,96.38,91.54
28,28,96.32,91.62
29,29,96.26,91.64
30,30,96.26,91.62
