,epoch,ASR,CDA
0,0,90.01,84.82
1,1,27.8,81.51
2,2,13.74,81.15
3,3,14.14,83.6
4,4,13.36,84.4
5,5,11.1,84.42
6,6,10.33,84.67
7,7,10.58,84.77
8,8,10.23,85.04
9,9,10.66,84.28
10,10,10.52,84.87
11,11,9.86,85.18
12,12,9.51,83.93
13,13,9.62,85.39
14,14,10.03,85.7
15,15,10.56,85.51
16,16,10.89,85.25
17,17,11.24,84.76
18,18,12.33,85.0
19,19,12.56,84.74
20,20,12.72,84.72
21,21,12.46,85.03
22,22,12.02,85.47
23,23,11.47,85.96
24,24,11.2,86.12
25,25,10.83,86.22
26,26,10.65,85.57
27,27,10.65,85.15
28,28,10.75,85.09
29,29,10.92,85.28
30,30,11.24,85.36
