,epoch,ASR,CDA
0,0,97.18,92.11
1,1,97.41,91.99
2,2,97.35,92.02
3,3,97.24,91.99
4,4,97.0,92.05
5,5,96.63,91.99
6,6,96.4,91.98
7,7,96.09,92.07
8,8,95.8,92.15
9,9,95.68,92.15
10,10,95.43,92.21
11,11,95.29,92.23
12,12,95.13,92.19
13,13,94.98,92.17
14,14,94.8,92.13
15,15,94.64,92.09
16,16,94.61,92.09
17,17,94.47,92.11
18,18,94.33,92.07
19,19,94.18,92.11
20,20,94.06,92.09
21,21,94.04,92.11
22,22,94.04,92.13
23,23,93.98,92.09
24,24,93.83,92.11
25,25,93.81,92.09
26,26,93.91,92.03
27,27,93.75,91.97
28,28,93.73,92.03
29,29,93.63,92.07
30,30,93.63,92.07
