,epoch,ASR,CDA
0,0,97.31,91.7
1,1,97.53,91.47
2,2,97.62,91.53
3,3,97.47,91.61
4,4,97.37,91.74
5,5,97.12,91.69
6,6,96.96,91.7
7,7,96.67,91.72
8,8,96.47,91.72
9,9,96.3,91.69
10,10,96.13,91.74
11,11,96.07,91.78
12,12,96.05,91.78
13,13,95.97,91.78
14,14,95.87,91.82
15,15,95.8,91.84
16,16,95.76,91.76
17,17,95.62,91.78
18,18,95.56,91.72
19,19,95.52,91.69
20,20,95.56,91.7
21,21,95.56,91.63
22,22,95.56,91.63
23,23,95.44,91.59
24,24,95.5,91.69
25,25,95.5,91.74
26,26,95.46,91.72
27,27,95.4,91.72
28,28,95.4,91.69
29,29,95.38,91.7
30,30,95.4,91.8
