,epoch,ASR,CDA
0,0,97.31,91.64
1,1,97.02,91.78
2,2,95.74,91.86
3,3,92.8,91.41
4,4,86.76,91.19
5,5,77.5,91.16
6,6,68.83,90.92
7,7,61.71,90.78
8,8,57.48,90.92
9,9,54.73,91.1
10,10,51.75,91.07
11,11,50.16,91.04
12,12,47.21,91.06
13,13,46.59,91.06
14,14,44.5,90.92
15,15,42.32,90.9
16,16,41.11,90.82
17,17,39.33,90.84
18,18,37.59,90.9
19,19,36.49,90.86
20,20,36.16,91.02
21,21,36.1,90.92
22,22,37.31,90.78
23,23,37.46,90.69
24,24,37.5,90.67
25,25,37.5,90.61
26,26,35.97,90.54
27,27,35.3,90.57
28,28,34.05,90.61
29,29,33.29,90.63
30,30,32.91,90.8
