,epoch,ASR,CDA
0,0,93.37,82.29
1,1,92.74,83.38
2,2,69.4,82.25
3,3,35.57,81.45
4,4,24.77,80.66
5,5,19.29,81.63
6,6,14.96,82.52
7,7,11.32,83.92
8,8,9.76,84.33
9,9,10.3,84.29
10,10,11.23,82.87
11,11,11.29,84.34
12,12,10.75,84.13
13,13,10.11,83.89
14,14,10.5,83.55
15,15,11.7,84.03
16,16,12.44,84.5
17,17,12.52,85.12
18,18,12.21,85.14
19,19,12.0,85.1
20,20,12.1,85.37
21,21,12.27,84.58
22,22,11.63,83.98
23,23,11.18,84.29
24,24,11.11,85.28
25,25,10.93,85.56
26,26,10.84,85.44
27,27,10.58,85.51
28,28,10.33,85.59
29,29,10.27,85.59
30,30,10.37,85.9
