,epoch,ASR,CDA
0,0,97.33,86.14
1,1,64.49,85.17
2,2,12.14,80.42
3,3,11.34,82.48
4,4,11.16,83.38
5,5,10.95,85.66
6,6,10.83,86.32
7,7,10.4,86.12
8,8,10.0,86.3
9,9,9.76,86.56
10,10,9.9,86.67
11,11,10.05,86.99
12,12,10.03,87.04
13,13,9.8,86.93
14,14,9.67,86.89
15,15,9.7,87.04
16,16,9.86,87.36
17,17,10.07,87.51
18,18,10.35,87.56
19,19,10.5,87.52
20,20,10.23,87.72
21,21,10.06,87.56
22,22,10.19,87.39
23,23,10.27,87.16
24,24,10.27,87.22
25,25,10.25,87.17
26,26,10.23,87.29
27,27,10.19,87.39
28,28,10.15,87.62
29,29,10.08,87.56
30,30,10.04,87.43
