,epoch,ASR,CDA
0,0,97.82,86.84
1,1,19.06,86.29
2,2,11.73,82.55
3,3,10.12,82.94
4,4,9.81,84.99
5,5,10.04,85.4
6,6,10.04,86.31
7,7,10.16,87.23
8,8,10.23,87.54
9,9,10.44,86.97
10,10,10.31,86.88
11,11,9.98,86.87
12,12,9.96,86.9
13,13,9.96,87.14
14,14,10.35,87.7
15,15,10.33,87.76
16,16,10.29,87.87
17,17,10.15,87.8
18,18,10.09,87.78
19,19,10.08,87.95
20,20,10.0,88.03
21,21,10.02,88.11
22,22,9.94,88.03
23,23,9.75,87.97
24,24,9.76,87.77
25,25,9.82,87.85
26,26,9.86,87.97
27,27,9.88,88.14
28,28,9.94,88.14
29,29,10.02,88.14
30,30,10.04,88.18
