,epoch,ASR,CDA
0,41,17.81,75.37
1,42,9.28,77.93
2,43,18.34,78.98
3,44,39.1,80.53
4,45,31.3,80.73
5,46,17.47,82.53
6,47,65.61,83.03
7,48,31.2,83.71
8,49,74.64,84.14
9,50,25.08,84.57
10,51,23.46,86.09
11,52,12.3,86.06
12,53,10.23,85.11
13,54,23.98,85.71
14,55,50.67,85.86
15,56,33.79,85.66
16,57,10.38,86.42
17,58,24.79,86.11
18,59,40.31,86.51
19,60,10.13,86.12
20,61,10.42,86.49
21,62,9.9,86.03
22,63,10.02,86.6
23,64,10.64,87.46
24,65,10.54,88.16
25,66,18.22,87.83
26,67,10.27,88.29
27,68,69.08,88.36
28,69,10.65,88.88
29,70,90.93,89.87
30,71,93.09,91.22
31,72,92.94,91.26
32,73,91.77,91.51
33,74,93.0,91.68
34,75,92.59,91.31
35,76,91.36,91.61
36,77,76.43,91.37
37,78,85.19,91.47
38,79,85.69,91.72
39,80,90.14,91.28
40,81,81.97,91.64
41,82,78.55,91.39
42,83,87.13,90.96
43,84,80.75,91.14
44,85,82.09,91.08
45,86,70.46,91.1
46,87,80.78,91.45
47,88,82.7,91.35
48,89,32.73,91.11
49,90,55.07,91.16
50,91,16.02,91.2
51,92,20.92,91.37
52,93,49.82,91.37
53,94,38.82,91.22
54,95,78.93,91.65
55,96,86.45,91.56
56,97,75.72,91.55
57,98,86.43,91.9
58,99,94.9,91.55
59,100,94.35,91.57
60,101,94.18,91.55
61,102,94.84,91.67
62,103,94.68,91.67
63,104,94.53,91.77
64,105,94.86,91.67
65,106,94.8,91.75
66,107,94.25,91.83
67,108,94.14,91.65
68,109,94.63,91.75
69,110,95.29,91.49
70,111,94.37,91.77
71,112,95.03,91.82
72,113,94.61,91.76
73,114,94.53,91.51
74,115,95.03,91.59
75,116,94.59,91.55
76,117,94.12,91.67
77,118,94.68,91.8
78,119,95.01,91.61
79,120,93.95,91.8
80,121,94.1,91.73
81,122,94.35,91.72
82,123,94.26,91.59
83,124,94.33,91.73
84,125,94.32,91.86
85,126,94.06,91.61
86,127,94.49,91.96
87,128,94.35,91.65
88,129,94.47,91.55
89,130,95.05,91.84
