,epoch,ASR,CDA
0,41,93.19,76.48
1,42,94.29,77.75
2,43,96.73,83.08
3,44,94.8,83.56
4,45,92.89,80.19
5,46,94.79,84.73
6,47,91.88,83.23
7,48,92.16,84.52
8,49,96.28,84.34
9,50,93.69,86.55
10,51,96.28,84.18
11,52,94.39,85.73
12,53,97.68,85.45
13,54,95.48,83.49
14,55,97.31,85.57
15,56,96.12,85.0
16,57,90.41,83.64
17,58,96.79,86.27
18,59,96.38,84.06
19,60,96.28,85.95
20,61,93.44,87.97
21,62,93.45,82.69
22,63,96.38,88.22
23,64,94.1,84.83
24,65,96.51,85.56
25,66,90.79,85.42
26,67,97.1,83.57
27,68,94.63,85.07
28,69,95.0,86.56
29,70,96.57,87.0
30,71,96.77,91.45
31,72,96.79,91.84
32,73,96.67,91.88
33,74,96.92,91.51
34,75,97.02,91.8
35,76,96.59,91.43
36,77,96.38,91.7
37,78,96.69,91.62
38,79,96.69,91.66
39,80,96.45,91.68
40,81,96.92,91.52
41,82,96.85,91.74
42,83,97.1,91.55
43,84,97.02,91.74
44,85,96.61,91.26
45,86,96.65,91.78
46,87,96.71,91.57
47,88,96.69,91.57
48,89,96.34,91.43
49,90,96.63,91.41
50,91,96.77,91.28
51,92,97.0,91.28
52,93,97.02,91.18
53,94,96.61,91.31
54,95,97.08,91.53
55,96,97.04,91.52
56,97,97.02,91.12
57,98,96.49,91.25
58,99,97.0,91.51
59,100,97.1,91.17
60,101,96.77,91.31
61,102,96.88,91.68
62,103,96.73,91.54
63,104,97.04,91.78
64,105,96.85,91.67
65,106,97.04,91.77
66,107,96.81,91.83
67,108,96.81,91.81
68,109,96.94,91.77
69,110,96.9,91.62
70,111,96.9,91.76
71,112,97.06,91.78
72,113,96.75,91.81
73,114,96.92,91.73
74,115,96.85,91.66
75,116,97.06,91.74
76,117,96.63,91.68
77,118,96.85,91.62
78,119,96.86,91.66
79,120,96.85,91.66
80,121,96.9,91.6
81,122,97.06,91.5
82,123,96.73,91.76
83,124,96.81,91.68
84,125,96.71,91.66
85,126,96.71,91.75
86,127,96.79,91.7
87,128,96.55,91.56
88,129,96.85,91.68
89,130,96.69,91.64
