,epoch,ASR,CDA
0,41,24.04,78.07
1,42,77.5,76.85
2,43,10.85,80.78
3,44,76.23,80.48
4,45,28.83,83.06
5,46,29.57,83.16
6,47,20.6,83.62
7,48,10.17,84.14
8,49,73.82,83.94
9,50,23.88,84.66
10,51,14.11,84.64
11,52,13.98,84.23
12,53,9.18,84.67
13,54,24.17,85.06
14,55,9.73,85.08
15,56,11.48,84.46
16,57,28.96,85.45
17,58,11.9,85.82
18,59,10.39,85.76
19,60,10.18,85.48
20,61,10.17,86.6
21,62,85.18,86.24
22,63,9.84,86.8
23,64,30.75,86.41
24,65,10.64,87.58
25,66,53.92,87.8
26,67,10.23,87.64
27,68,12.56,88.53
28,69,95.33,89.55
29,70,88.98,89.73
30,71,85.52,90.61
31,72,82.99,90.7
32,73,79.17,90.94
33,74,91.53,90.73
34,75,82.91,91.03
35,76,71.4,91.03
36,77,91.38,90.78
37,78,89.7,90.99
38,79,86.02,90.92
39,80,91.89,90.64
40,81,92.32,90.99
41,82,91.67,90.59
42,83,53.74,90.47
43,84,88.69,90.96
44,85,81.93,90.96
45,86,46.87,90.82
46,87,78.99,90.68
47,88,69.22,90.5
48,89,72.82,90.48
49,90,56.27,90.49
50,91,37.67,90.55
51,92,17.69,90.33
52,93,45.0,90.49
53,94,39.38,90.94
54,95,39.37,90.86
55,96,81.2,91.21
56,97,63.11,91.29
57,98,93.85,91.48
58,99,96.2,91.62
59,100,96.51,91.44
60,101,96.43,91.46
61,102,96.28,91.44
62,103,96.02,91.36
63,104,96.24,91.56
64,105,96.45,91.46
65,106,95.93,91.62
66,107,96.06,91.5
67,108,96.26,91.58
68,109,96.38,91.44
69,110,96.1,91.38
70,111,96.16,91.68
71,112,95.93,91.52
72,113,96.04,91.44
73,114,96.14,91.58
74,115,95.83,91.37
75,116,95.99,91.46
76,117,96.1,91.68
77,118,96.38,91.35
78,119,96.02,91.41
79,120,96.02,91.39
80,121,95.73,91.54
81,122,95.99,91.34
82,123,95.97,91.42
83,124,95.97,91.48
84,125,95.81,91.54
85,126,95.79,91.39
86,127,96.01,91.52
87,128,96.12,91.6
88,129,95.79,91.39
89,130,95.89,91.38
