,epoch,ASR,CDA
0,0,96.26,90.92
1,1,96.26,90.51
2,2,95.74,90.65
3,3,94.68,90.69
4,4,93.22,90.36
5,5,92.0,90.41
6,6,91.0,90.29
7,7,89.99,90.29
8,8,88.03,90.35
9,9,86.48,90.16
10,10,85.15,90.21
11,11,83.85,90.25
12,12,82.56,90.04
13,13,81.98,90.0
14,14,81.06,89.94
15,15,80.73,89.85
16,16,79.77,90.02
17,17,78.68,90.01
18,18,78.54,90.04
19,19,78.68,90.1
20,20,78.31,90.26
21,21,78.6,90.18
22,22,79.19,90.2
23,23,79.15,89.83
24,24,79.52,89.77
25,25,78.97,89.79
26,26,78.27,89.86
27,27,77.43,89.83
28,28,76.8,89.84
29,29,75.18,89.9
30,30,76.0,89.98
