,epoch,ASR,CDA
0,0,93.19,76.48
1,1,90.41,75.24
2,2,87.09,77.96
3,3,72.81,77.78
4,4,34.82,78.12
5,5,25.3,79.09
6,6,25.13,79.74
7,7,25.96,78.85
8,8,22.58,78.58
9,9,24.53,79.0
10,10,24.2,78.05
11,11,24.09,77.14
12,12,26.03,77.14
13,13,26.97,77.86
14,14,23.17,77.51
15,15,13.97,77.04
16,16,18.39,75.63
17,17,22.56,75.78
18,18,21.92,77.37
19,19,18.21,76.25
20,20,15.17,76.42
21,21,15.25,77.77
22,22,15.06,76.88
23,23,16.09,76.47
24,24,18.93,76.93
25,25,21.44,77.37
26,26,21.87,76.92
27,27,21.14,78.0
28,28,21.36,77.76
29,29,22.43,76.13
30,30,22.57,77.27
