,epoch,ASR,CDA
0,0,96.34,91.79
1,1,96.53,91.88
2,2,96.12,91.7
3,3,95.46,91.36
4,4,94.99,91.34
5,5,94.61,91.14
6,6,94.34,91.28
7,7,94.16,91.24
8,8,94.01,91.07
9,9,93.91,91.18
10,10,93.66,91.28
11,11,93.56,91.31
12,12,93.42,91.24
13,13,93.36,91.12
14,14,93.3,91.14
15,15,93.3,91.22
16,16,93.26,91.12
17,17,93.18,91.16
18,18,93.01,91.08
19,19,92.86,91.12
20,20,92.78,91.02
21,21,92.68,90.95
22,22,92.61,90.98
23,23,92.59,90.96
24,24,92.53,90.96
25,25,92.55,91.08
26,26,92.49,91.0
27,27,92.63,90.98
28,28,92.74,91.02
29,29,92.72,90.98
30,30,92.63,91.02
