,epoch,ASR,CDA
0,0,96.22,92.18
1,1,96.51,92.0
2,2,96.47,91.89
3,3,96.28,91.89
4,4,96.02,91.9
5,5,95.68,91.67
6,6,95.5,91.59
7,7,95.11,91.59
8,8,94.9,91.65
9,9,94.68,91.71
10,10,94.55,91.69
11,11,94.27,91.71
12,12,94.16,91.71
13,13,94.12,91.69
14,14,93.88,91.57
15,15,93.79,91.71
16,16,93.65,91.8
17,17,93.61,91.82
18,18,93.53,91.8
19,19,93.44,91.86
20,20,93.38,91.82
21,21,93.3,91.74
22,22,92.97,91.82
23,23,92.91,91.8
24,24,92.83,91.82
25,25,92.87,91.72
26,26,92.83,91.8
27,27,92.99,91.82
28,28,92.81,91.69
29,29,92.56,91.63
30,30,92.39,91.61
