,epoch,ASR,CDA
0,0,96.9,92.01
1,1,96.55,92.09
2,2,95.35,91.88
3,3,93.59,91.88
4,4,91.0,91.49
5,5,88.76,91.43
6,6,84.98,91.18
7,7,82.88,91.29
8,8,81.22,91.56
9,9,80.11,91.39
10,10,78.14,91.37
11,11,76.1,91.37
12,12,72.93,91.19
13,13,69.5,90.96
14,14,66.5,91.09
15,15,65.06,91.04
16,16,63.5,91.0
17,17,61.64,91.02
18,18,60.69,91.17
19,19,58.64,91.15
20,20,59.09,91.04
21,21,58.23,91.02
22,22,59.5,91.0
23,23,59.85,91.04
24,24,58.55,90.98
25,25,58.0,90.92
26,26,58.88,90.92
27,27,59.37,90.98
28,28,58.47,91.0
29,29,57.57,91.09
30,30,57.28,91.0
