,epoch,ASR,CDA
0,0,96.77,91.31
1,1,97.04,91.39
2,2,97.04,91.47
3,3,97.02,91.41
4,4,96.94,91.42
5,5,96.73,91.48
6,6,96.53,91.52
7,7,96.47,91.52
8,8,96.34,91.52
9,9,96.22,91.5
10,10,96.1,91.4
11,11,96.01,91.48
12,12,95.95,91.52
13,13,95.91,91.52
14,14,95.81,91.52
15,15,95.77,91.52
16,16,95.71,91.48
17,17,95.66,91.48
18,18,95.58,91.48
19,19,95.52,91.4
20,20,95.6,91.36
21,21,95.52,91.32
22,22,95.52,91.36
23,23,95.54,91.38
24,24,95.5,91.32
25,25,95.46,91.32
26,26,95.44,91.3
27,27,95.38,91.28
28,28,95.44,91.36
29,29,95.33,91.34
30,30,95.33,91.38
