,epoch,ASR,CDA
0,0,96.77,91.45
1,1,96.69,91.39
2,2,95.56,91.3
3,3,93.46,91.2
4,4,90.35,91.08
5,5,86.47,90.88
6,6,82.13,90.96
7,7,78.88,90.94
8,8,75.49,90.96
9,9,73.89,90.92
10,10,71.8,90.92
11,11,69.86,90.88
12,12,68.93,90.84
13,13,68.81,90.82
14,14,67.7,90.78
15,15,66.46,90.78
16,16,65.43,90.78
17,17,65.53,90.8
18,18,64.46,90.7
19,19,63.74,90.55
20,20,63.42,90.55
21,21,63.28,90.59
22,22,64.41,90.57
23,23,64.94,90.47
24,24,64.39,90.59
25,25,64.67,90.51
26,26,64.59,90.51
27,27,64.53,90.47
28,28,65.37,90.68
29,29,64.57,90.61
30,30,64.48,90.61
