,epoch,ASR,CDA
0,0,96.42,90.83
1,1,96.77,90.69
2,2,96.73,90.77
3,3,96.69,90.75
4,4,96.4,90.63
5,5,96.13,90.75
6,6,95.82,90.75
7,7,95.54,90.73
8,8,95.31,90.75
9,9,94.94,90.73
10,10,94.68,90.71
11,11,94.53,90.82
12,12,94.3,90.88
13,13,94.2,90.9
14,14,93.91,90.77
15,15,93.73,90.94
16,16,93.46,90.94
17,17,93.21,90.9
18,18,93.11,90.88
19,19,93.09,90.92
20,20,92.87,90.88
21,21,92.87,90.75
22,22,92.87,90.78
23,23,92.78,90.78
24,24,92.72,90.78
25,25,92.37,90.88
26,26,92.06,90.9
27,27,91.82,90.83
28,28,91.59,90.69
29,29,90.99,90.69
30,30,90.79,90.69
