,epoch,ASR,CDA
0,0,95.17,77.67
1,1,86.67,73.18
2,2,60.19,76.32
3,3,23.16,77.0
4,4,11.36,76.97
5,5,12.2,77.12
6,6,11.99,76.36
7,7,10.06,75.17
8,8,11.91,75.54
9,9,17.18,75.66
10,10,17.39,75.7
11,11,15.77,75.36
12,12,16.64,77.57
13,13,17.04,76.08
14,14,14.17,76.15
15,15,14.21,74.55
16,16,17.76,75.28
17,17,18.96,74.6
18,18,23.31,74.58
19,19,22.89,76.25
20,20,26.85,76.63
21,21,26.61,74.53
22,22,21.02,76.25
23,23,15.65,76.79
24,24,14.62,75.39
25,25,13.88,75.51
26,26,13.89,75.27
27,27,15.41,76.23
28,28,16.26,76.9
29,29,16.65,76.73
30,30,17.06,76.91
