,epoch,ASR,CDA
0,0,95.37,78.46
1,1,94.9,75.31
2,2,91.22,77.78
3,3,84.36,77.3
4,4,62.26,77.33
5,5,50.09,74.99
6,6,38.53,76.4
7,7,27.47,74.9
8,8,30.25,74.78
9,9,14.73,71.9
10,10,31.41,72.79
11,11,34.87,74.85
12,12,21.49,75.78
13,13,19.45,75.51
14,14,16.65,77.65
15,15,30.07,76.28
16,16,42.4,72.87
17,17,31.22,75.04
18,18,28.34,73.14
19,19,29.41,73.92
20,20,27.78,73.96
21,21,36.8,75.63
22,22,32.4,75.0
23,23,19.96,73.73
24,24,25.3,75.54
25,25,35.51,76.01
26,26,39.14,75.52
27,27,31.02,74.96
28,28,26.98,76.18
29,29,24.7,77.01
30,30,24.2,77.4
